Institution	City	Country	Official.Partners	CHAMNHA	HEAT	ENBEL	GHAP	HAPI	BioHEAT	HIGH_Horizons	Funder	Partners	Data_Providers	Government.Partners	Policy	Research	Engagement..Advocacy..and.Capacity.Building	Finance_programmes	Gueladio_Cisse	Matthew_Chersich	Pilot_Projects	lon	lat	Short_Name	Readable_Name
University of Graz	Graz	Austria	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	15.438279	47.070868	U Graz	Univ Graz
Health and Environment Alliance	Brussels	Belgium	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	4.351697	50.846557	HEAL	Health Environment
European Union	Brussels	Belgium	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	4.351697	50.846557	EU	European Union
Ghent University	Ghent	Belgium	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	3.717424	51.054342	U Ghent	Univ Ghent
University of Botswana	Gaborone	Botswana	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	25.908847	-24.658136	U Botswana	Univ Gaborone
Institut de Recherche en Sciences de la Santé	Ouagadougou	Burkina Faso	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	-1.527094	12.368187	IRSS	Institut de
Institute of Public Health	Bujumbura	Burundi	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	29.367503	-3.363812	IPH Burundi	Public Health
University of Yaoundé	Yaoundé	Cameroon	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	11.521334	3.868987	U Yaoundé	Univ Yaoundé
International Health Support Centre	N'Djamena	Chad	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	15.050276	12.119154	IHSC	Health Support
Centre Suisse de Recherches Scientifiques	Abidjan	Côte d'Ivoire	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	-4.016107	5.320357	CSRS	Centre Suisse
Felix Houphouët Boigny University	Abidjan	Côte d'Ivoire	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	-4.016107	5.320357	FHBU	Univ Abidjan
Nangui Abrogoua University	Abidjan	Côte d'Ivoire	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	-4.016107	5.320357	NAU	Univ Abidjan
Denmark Technical University	Kongens Lyngby	Denmark	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	12.570072	55.686724	DTU	Univ Kongens Lyngby
Tartu Ulikool	Tartu	Estonia	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	26.72245	58.380121	U Tartu	Tartu Ulikool
Ilmatieteen Laitos	Helsinki	Finland	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	24.942747	60.167488	FMI	Ilmatieteen Laitos
University Paul Sabatier Toulouse	Toulouse	France	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1.444247	43.604462	U Toulouse	Univ Toulouse
University of Jena	Jena	Germany	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	11.587936	50.928172	U Jena	Univ Jena
University of Thessaly	Thessaly	Greece	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	22.944419	39.36211	U Thessaly	Univ Thessaly
Trinity College Dublin	Dublin	Ireland	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	-6.260559	53.34938	TCD	Trinity College
Royal College of Surgeons in Ireland	Dublin	Ireland	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	-6.260559	53.34938	RCSI	Royal College
Human Technopole	Milan	Italy	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	9.189635	45.464194	HT	Human Technopole
Azienda Sanitaria Locale Roma	Rome	Italy	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	12.482932	41.89332	ASL Roma	Azienda Sanitaria
Aga Khan University	Nairobi	Kenya	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	36.828842	-1.302615	AKU	Univ Nairobi
University Peleforo Gon Coulibaly	Korhogo	Côte d'Ivoire	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	-5.631629	9.45807	UPGC	Univ Korhogo
International Red Cross Red Crescent Centre	Amsterdam	Netherlands	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	6.1466	46.2018	IFRC	Red Cross
Ministry of Scientific Research	Abidjan	Côte d'Ivoire	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	-4.016107	5.320357	MSR-CI	Ministry Scientific
University of Oslo	Oslo	Norway	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	10.73897	59.91333	U Oslo	Univ Oslo
Folkehelseinstituttet	Oslo	Norway	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	10.73897	59.91333	FHI	Folkehelseinstituttet
Center for International Climate Research	Oslo	Norway	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	10.73897	59.91333	CICERO	Center Climate
Research Council of Norway	Oslo	Norway	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	10.73897	59.91333	RCN	Research Council
PAC-CI Programme	Abidjan	Côte d'Ivoire	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	-4.016107	5.320357	PAC-CI	PAC-CI Programme
Institut de Recherche pour le Développement	Abidjan	Côte d'Ivoire	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	-4.016107	5.320357	IRD	Institut de
Abidjan Heart Institute	Abidjan	Côte d'Ivoire	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	-4.016107	5.320357	AHI	Abidjan Heart
Centre Hospitalier Et Universitaire De Treichville	Abidjan	Côte d'Ivoire	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	-4.016107	5.320357	CHU-T	Centre Hospitalier
University of Southern Denmark	Odense	Denmark	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	10.388025	55.368755	USD	Univ Odense
The Health Foundation	Cape Town	South Africa	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	18.4597	-33.9575	UCT	The Health
Western Cape Provincial Health	Cape Town	South Africa	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	1	0	18.4241	-33.9249	WCPH	Western Cape
Empilweni Services and Research Unit	Johannesburg	South Africa	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	27.9735	-26.1825	ESRU	Empilweni Services
African Union	Addis Ababa	Ethiopia	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	38.763611	9.005401	AU	African Union
Quantium Health	Johannesburg	South Africa	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	28.0566	-26.0999	QH	Quantium Health
Section 27	Johannesburg	South Africa	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	28.0307	-26.1921	S27	Section 27
College of Medicine and Health Sciences	Addis Ababa	Ethiopia	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	38.763611	9.005401	CMHS	College Medicine
Sydney Brenner Institute	Johannesburg	South Africa	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	28.0382	-26.1814	SBIMB	Sydney Brenner
Rahima Moosa Hospital	Johannesburg	South Africa	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	27.9735	-26.1825	RMH	Rahima Mother
Division of Human Genetics	Johannesburg	South Africa	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	28.0382	-26.1814	DHG	Division Human
Global Change Institute	Johannesburg	South Africa	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	28.0298	-26.1905	GCI	Global Change
South African Medical Research Council	Pretoria	South Africa	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	18.4683	-33.9351	SAMRC	South African
Sanofi	Paris	France	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2.3522	48.8566	Sanofi	Sanofi
South African Weather Service	Pretoria	South Africa	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	28.2041	-25.8069	SAWS	Weather Service
Stellenbosch University	Stellenbosch	South Africa	1	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0	18.8654	-33.9328	SU	Univ Stellenbosch
Green Climate Fund	Incheon	South Korea	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	126.7052	37.456	GCF	Green Climate
Goeteborgs University	Gothenburg	Sweden	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	11.967017	57.707233	GU	Univ Gothenburg
Lunds University	Lund	Sweden	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	13.192945	55.70293	LU	Univ Lund
Karolinska Institute	Stockholm	Sweden	1	1	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	18.071094	59.325117	KI	Karolinska Institute
Umea University	Umea	Sweden	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	20.263074	63.825657	UmU	Univ Umea
World Health Organization	Geneva	Switzerland	1	0	0	0	1	0	0	1	0	1	1	0	1	1	0	1	0	1	0	6.146601	46.201756	WHO	World Health
World Meteorological Organization	Geneva	Switzerland	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	6.146601	46.201756	WMO	Switzerland Met
African Population and Health Research Center	Nairobi	Kenya	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	36.817223	-1.286389	APHRC	African Population
The Research Care and Training Program	Nairobi	Kenya	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	36.817223	-1.286389	RCTP	The Research
Met Office	Exeter	United Kingdom	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	-3.526921	50.725614	Met Office	Met Office
University of Leeds	Leeds	United Kingdom	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	-1.543794	53.797418	U Leeds	Univ Leeds
University College London	London	United Kingdom	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	-0.144055	51.489334	UCL	Univ London
London School of Hygiene & Tropical Medicine	London	United Kingdom	1	1	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	-0.144055	51.489334	LSHTM	London Hygiene
Wellcome Trust	London	United Kingdom	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	-0.1339	51.5259	Wellcome	Wellcome Trust
University of Southampton	Southampton	United Kingdom	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	-1.404189	50.902535	U Southampton	Univ Southampton
UK Research and Innovation	Swindon	United Kingdom	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.785432	51.561533	UKRI	UK Research
JHPIEGO	Nairobi	Kenya	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	36.817223	-1.286389	JHPIEGO	JHPIEGO
US National Institutes of Health	Bethesda Maryland	United States	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-77.123359	38.981273	NIH	US Institutes
National Institute of Environmental Health Sciences	Research Triangle Park North Carolina	United States	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-78.84	35.9327	NIEHS	Environmental Health
Kenya Medical Research Institute CDC	Nairobi	Kenya	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	36.817223	-1.286389	KEMRI-CDC	Kenya Medical
Adaptation Fund	Washington Dc	United States	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	-77.036543	38.895037	AF	Adaptation Fund
University of Malawi	Zomba	Malawi	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	35.331234	-15.386391	U Malawi	Univ Zomba
Lighthouse Trust	Lilongwe	Malawi	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	33.783333	-13.983333	LHT	Lighthouse Trust
Aga Khan Health Service	Nairobi	Kenya	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	36.828842	-1.302615	AKHS	Aga Khan
Clinton Health Access Initiative	Lilongwe	Malawi	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	33.783333	-13.983333	CHAI	Clinton Health
Malawi Liverpool Wellcome Trust Programme	Blantyre	Malawi	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	35.00854	-15.785547	MLW	Malawi Liverpool
Department of Science & Innovation	Pretoria	South Africa	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	28.2118	-25.7461	DSI	Science Innovation
Institute of Public Health	Nouakchott	Mauritania	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	-15.978007	18.079238	IPH Mauritania	Public Health
Federal University of Technology	Akure	Nigeria	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	5.193265	7.25256	FUT	Univ Akure
Medical School of Rwanda	Kigali	Rwanda	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	30.129675	-1.88596	MSR	Medical Rwanda
Cheikh Anta Diop University	Dakar	Senegal	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	-17.447938	14.693425	UCAD	Univ Dakar
IRESSEF	Diamniadio	Senegal	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	-17.447938	14.693425	IRESSEF	IRESSEF
Ziguinchor University	Ziguinchor	Senegal	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	-16.272461	12.563493	U Ziguinchor	Univ Ziguinchor
Climate Systems Analysis Group	Cape Town	South Africa	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	18.4607	-33.9301	CSAG	Climate Systems
IBM Research Africa	Johannesburg	South Africa	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	28.0687	-26.0455	IBM Africa	IBM Research
Wits Planetary Health Research	Johannesburg	South Africa	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	28.0305	-26.1913	WPH	Wits Planetary
University of Pretoria	Pretoria	South Africa	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	28.2293	-25.7545	UP	Univ Pretoria
University of KwaZulu-Natal Law Centre	Durban	South Africa	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	30.9819	-29.8587	UKZN Law	Univ Durban
Kheth'Impilo	Cape Town	South Africa	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	18.4232	-33.9258	KI-SA	Kheth'Impilo
Developmental Pathways for Health	Johannesburg	South Africa	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	28.0457	-26.1803	DPHRU	Developmental Pathways
Ezintsha Research Centre	Johannesburg	South Africa	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	28.0416	-26.1842	ERC	Ezintsha Research
Chris Hani Baragwanath Hospital	Soweto	South Africa	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	27.9407	-26.2601	CHBH	Chris Hani
Helen Joseph Hospital	Johannesburg	South Africa	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	28.0196	-26.1742	HJH	Helen Joseph
Vaccines and Infectious Diseases Analytics	Soweto	South Africa	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	27.9407	-26.2601	VIDA	Vaccines Infectious
Perinatal HIV Research Unit	Soweto	South Africa	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	27.9407	-26.2601	PHRU	Perinatal HIV
Right to Care	Johannesburg	South Africa	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	28.0194	-26.1739	RTC	Right to
Clinical HIV Research Unit	Johannesburg	South Africa	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	28.019	-26.1745	CHRU	Clinical HIV
Wits Reproductive Health and HIV Institute	Johannesburg	South Africa	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	28.0437	-26.1874	Wits RHI	Wits RHI
The Aurum Institute	Johannesburg	South Africa	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	28.0405	-26.1864	Aurum	The Aurum
Nkanyezi Research Unit	Johannesburg	South Africa	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	27.9735	-26.1825	NRU	Nkanyezi Research
Catholic University Of Health	Mwanza	Tanzania	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	32.889822	-2.516667	CUHAS	Univ Mwanza
Kilimanjaro Christian Medical University	Moshi	Tanzania	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	37.340556	-3.345833	KCMU	Univ Moshi
National Institute for Medical Research	Dar es Salaam	Tanzania	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	39.291705	-6.812344	NIMR	Institute Medical
University of Lome	Lome	Togo	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1.215829	6.130419	U Lome	Univ Lome
Makerere University	Kampala	Uganda	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	32.581354	0.317714	Makerere	Univ Kampala
University of Warwick	Coventry	United Kingdom	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	-1.560056	52.379189	U Warwick	Univ Coventry
Liverpool School of Tropical Medicine	Liverpool	United Kingdom	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	-2.977838	53.405937	LSTM	Liverpool Tropical
University of Michigan	Ann Arbor	United States	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	-83.748462	42.281372	U Michigan	Univ Ann Arbor
University of Washington	Seattle	United States	1	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	-122.330062	47.603832	UW	Univ Seattle
US Department of Commerce	Washington DC	United States	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	-77.036871	38.907192	USDOC	US Commerce
University of Miami	Miami	United States	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	-80.191788	25.761681	U Miami	Univ Miami
RTI International	Research Triangle Park	United States	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	-78.863647	35.899168	RTI	RTI International
University North Carolina	Chapel Hill	United States	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	-79.055845	35.913245	UNC	Univ Chapel Hill
Harvard University	Cambridge	United States	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	-71.118292	42.374443	Harvard	Univ Cambridge
Johns Hopkins University	Baltimore	United States	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	-76.620277	39.299236	JHU	Univ Baltimore
IMPAACT	Boston	United States	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-71.060511	42.358162	IMPAACT	IMPAACT
Statistical Center for HIV/AIDS Research	Seattle	United States	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	-122.3321	47.6062	SCHARP	Statistical Center
AIDS Clinical Trials Group	Boston	United States	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-71.0589	42.3601	ACTG	AIDS Clinical
Midlands State University	Gweru	Zimbabwe	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	29.820595	-19.461632	MSU	Univ Gweru
CeSHHAR	Harare	Zimbabwe	1	1	1	0	1	1	0	1	0	1	0	0	0	1	0	1	0	1	0	31.060158	-17.856704	CeSHHAR	CeSHHAR
School of Public Health and Family Medicine	Cape Town	South Africa	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	18.4607	-33.9301	SPHFM	Public Health
Higher Institute of Public Health	Ouagadougou	Burkina Faso	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	-1.5217	12.3714	HIPH	Higher Public
Re-Action Consulting	Johannesburg	South Africa	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	28.0473	-26.2041	RAC	Re-Action Consulting
MOSASWA	Maputo	Mozambique	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	32.5732	-25.9692	MOSASWA	MOSASWA
World Bank	Pretoria	South Africa	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	28.2294	-25.7479	WB	World Bank
Department of Health (South Africa)	Pretoria	South Africa	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	28.1871	-25.7461	DoH-SA	Health (South
Department of Health (Zimbabwe)	Harare	Zimbabwe	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	31.0335	-17.8252	DoH-ZW	Health (Zimbabwe)
Department of Forestry Fisheries and the Environment (South Africa)	Pretoria	South Africa	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	28.2118	-25.7461	DFFE	Forestry Fisheries
City of Tshwane Metropolitan Municipality	Pretoria	South Africa	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	NA	NA	NA	NA	NA	 City Tshwane	
INSERM-ANRS MIE	Paris	France	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2.3522	48.8566	ANRS	ANRS
PROGRAMME PAC-CI	Abidjan	Côte d'Ivoire	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	-4.016107	5.320357	PAC-CI	PAC-CI Programme
Abidjan Cardiology Institute	Abidjan	Côte d'Ivoire	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	-4.016107	5.320357	ACI	Abidjan Cardiology

